ID,mastercode,Code,Plot,Subplot,Stratum,Forest,Trunk perimenter (cm),tree ID,Notes-Trunk,Lianas,deadwood .,deadwood%,Bait/Bamboo Height(m)
65,NP1-S3-A1-CA,NP1-S3-A1,NP1-S3,A1,CA,Numba Primary,131,T65,,2,0,5,12
66,NP1-S3-A2-CA,NP1-S3-A2,NP1-S3,A2,CA,Numba Primary,82,T66,same as A1 UN,2,0,5,19
67,NP1-S3-A3-CA,NP1-S3-A3,NP1-S3,A3,CA,Numba Primary,76,T67,,3,0,5,16
68,NP1-S3-A4-CA,NP1-S3-A4,NP1-S3,A4,CA,Numba Primary,82,T68,same as B3 CA,3,0,5,23
69,NP1-S3-A1-UN,NP1-S3-A1,NP1-S3,A1,UN,Numba Primary,82,T66,same as A2 CA,5,0,5,1.5
70,NP1-S3-A2-UN,NP1-S3-A2,NP1-S3,A2,UN,Numba Primary,22,T70,,2,1,5,1.5
71,NP1-S3-A3-UN,NP1-S3-A3,NP1-S3,A3,UN,Numba Primary,23,T71,,2,0,5,1.5
72,NP1-S3-A4-UN,NP1-S3-A4,NP1-S3,A4,UN,Numba Primary,27,T72,,4,0,5,1.5
73,NP1-S3-B1-CA,NP1-S3-B1,NP1-S3,B1,CA,Numba Primary,67,T108,same as S4 B4 CA,1,0,5,14
74,NP1-S3-B2-CA,NP1-S3-B2,NP1-S3,B2,CA,Numba Primary,80,T74,,3,0,5,18
75,NP1-S3-B3-CA,NP1-S3-B3,NP1-S3,B3,CA,Numba Primary,82,T68,same as A4 CA,3,0,5,18
76,NP1-S3-B4-CA,NP1-S3-B4,NP1-S3,B4,CA,Numba Primary,82,T68,same as B3 CA,3,0,5,22
77,NP1-S3-B1-UN,NP1-S3-B1,NP1-S3,B1,UN,Numba Primary,23,T77,,0,0,5,1.5
78,NP1-S3-B2-UN,NP1-S3-B2,NP1-S3,B2,UN,Numba Primary,200,T78,,1,0,5,1.5
79,NP1-S3-B3-UN,NP1-S3-B3,NP1-S3,B3,UN,Numba Primary,25,T79,,1,0,5,1.5
80,NP1-S3-B4-UN,NP1-S3-B4,NP1-S3,B4,UN,Numba Primary,21,T80,,0,0,5,1.5
81,NP1-S3-C1-CA,NP1-S3-C1,NP1-S3,C1,CA,Numba Primary,93,T116,same as D1 CA,3,1,20,14
82,NP1-S3-C2-CA,NP1-S3-C2,NP1-S3,C2,CA,Numba Primary,48,T82,,1,1,5,18
83,NP1-S3-C3-CA,NP1-S3-C3,NP1-S3,C3,CA,Numba Primary,96,T83,,2,0,5,20
84,NP1-S3-C4-CA,NP1-S3-C4,NP1-S3,C4,CA,Numba Primary,47,T84,outside plot,2,0,5,22
85,NP1-S3-C1-UN,NP1-S3-C1,NP1-S3,C1,UN,Numba Primary,10,T85,,0,0,5,1.5
86,NP1-S3-C2-UN,NP1-S3-C2,NP1-S3,C2,UN,Numba Primary,49,T86,,4,0,5,1.5
87,NP1-S3-C3-UN,NP1-S3-C3,NP1-S3,C3,UN,Numba Primary,43,T87,,1,0,5,1.5
88,NP1-S3-C4-UN,NP1-S3-C4,NP1-S3,C4,UN,Numba Primary,34,T88,,1,4,10,1.5
89,NP1-S3-D1-CA,NP1-S3-D1,NP1-S3,D1,CA,Numba Primary,93,T116,same as S4  C4 CA: same as C1 CA; same as S4 D4,3,1,20,13
90,NP1-S3-D2-CA,NP1-S3-D2,NP1-S3,D2,CA,Numba Primary,49,T90,,1,1,10,17
91,NP1-S3-D3-CA,NP1-S3-D3,NP1-S3,D3,CA,Numba Primary,47,T95,same as D3 UN,1,1,10,9
92,NP1-S3-D4-CA,NP1-S3-D4,NP1-S3,D4,CA,Numba Primary,71,T92,,2,0,5,14
93,NP1-S3-D1-UN,NP1-S3-D1,NP1-S3,D1,UN,Numba Primary,19,T93,,2,0,5,1.5
94,NP1-S3-D2-UN,NP1-S3-D2,NP1-S3,D2,UN,Numba Primary,40,T94,,3,1,10,1.5
95,NP1-S3-D3-UN,NP1-S3-D3,NP1-S3,D3,UN,Numba Primary,47,T95,same as D3 CA,3,0,10,1.5
96,NP1-S3-D4-UN,NP1-S3-D4,NP1-S3,D4,UN,Numba Primary,22,T96,,1,1,5,1.5
97,NP1-S4-A1-CA,NP1-S4-A1,NP1-S4,A1,CA,Numba Primary,105,T97,same as A1 CA,1,1,5,19
98,NP1-S4-A2-CA,NP1-S4-A2,NP1-S4,A2,CA,Numba Primary,85,T98,,7,2,5,14
99,NP1-S4-A3-CA,NP1-S4-A3,NP1-S4,A3,CA,Numba Primary,175,T27,same as S1 D3 CA,7,2,5,21
100,NP1-S4-A4-CA,NP1-S4-A4,NP1-S4,A4,CA,Numba Primary,175,T27,same as A3 CA,7,2,5,20
101,NP1-S4-A1-UN,NP1-S4-A1,NP1-S4,A1,UN,Numba Primary,20,T101,,1,0,5,1.5
102,NP1-S4-A2-UN,NP1-S4-A2,NP1-S4,A2,UN,Numba Primary,20,T102,,1,0,5,1.5
103,NP1-S4-A3-UN,NP1-S4-A3,NP1-S4,A3,UN,Numba Primary,33,T103,,1,0,5,1.5
104,NP1-S4-A4-UN,NP1-S4-A4,NP1-S4,A4,UN,Numba Primary,18,T104,,1,2,10,1.5
105,NP1-S4-B1-CA,NP1-S4-B1,NP1-S4,B1,CA,Numba Primary,105,T97,same as A1 CA,3,1,5,15
106,NP1-S4-B2-CA,NP1-S4-B2,NP1-S4,B2,CA,Numba Primary,54,T106,,2,1,5,15
107,NP1-S4-B3-CA,NP1-S4-B3,NP1-S4,B3,CA,Numba Primary,76,T107,same as B2 UN,3,1,5,13
108,NP1-S4-B4-CA,NP1-S4-B4,NP1-S4,B4,CA,Numba Primary,67,T108,same as S3 B1 CA,1,0,5,15
109,NP1-S4-B1-UN,NP1-S4-B1,NP1-S4,B1,UN,Numba Primary,18,T109,,1,1,5,1.5
110,NP1-S4-B2-UN,NP1-S4-B2,NP1-S4,B2,UN,Numba Primary,76,T107,same as B3 CA,30,1,5,1.5
111,NP1-S4-B3-UN,NP1-S4-B3,NP1-S4,B3,UN,Numba Primary,39,T111,,2,1,5,1.5
112,NP1-S4-B4-UN,NP1-S4-B4,NP1-S4,B4,UN,Numba Primary,30,T112,,0,1,5,1.5
113,NP1-S4-C1-CA,NP1-S4-C1,NP1-S4,C1,CA,Numba Primary,252,T113,same as C2 CA,1,6,20,20
114,NP1-S4-C2-CA,NP1-S4-C2,NP1-S4,C2,CA,Numba Primary,252,T113,same as C1 CA,2,3,10,15
115,NP1-S4-C3-CA,NP1-S4-C3,NP1-S4,C3,CA,Numba Primary,252,T113,same as C1 CA,4,4,20,18
116,NP1-S4-C4-CA,NP1-S4-C4,NP1-S4,C4,CA,Numba Primary,93,T116,same as S3 D1 CA,9,4,15,16
117,NP1-S4-C1-UN,NP1-S4-C1,NP1-S4,C1,UN,Numba Primary,28,T117,,1,2,10,1.5
118,NP1-S4-C2-UN,NP1-S4-C2,NP1-S4,C2,UN,Numba Primary,11,T118,,1,2,5,1.5
119,NP1-S4-C3-UN,NP1-S4-C3,NP1-S4,C3,UN,Numba Primary,22,T119,,2,1,5,1.5
120,NP1-S4-C4-UN,NP1-S4-C4,NP1-S4,C4,UN,Numba Primary,30,T120,,1,3,15,1.5
121,NP1-S4-D1-CA,NP1-S4-D1,NP1-S4,D1,CA,Numba Primary,90,T121,same as D2 CA,5,6,15,16
122,NP1-S4-D2-CA,NP1-S4-D2,NP1-S4,D2,CA,Numba Primary,90,T121,same as D1 CA,5,6,15,17
123,NP1-S4-D3-CA,NP1-S4-D3,NP1-S4,D3,CA,Numba Primary,92,T116,same as D4 - same as S3 D1 CA,>20,1,20,19
124,NP1-S4-D4-CA,NP1-S4-D4,NP1-S4,D4,CA,Numba Primary,92,T116,same as D3 CA,8,1,20,16
125,NP1-S4-D1-UN,NP1-S4-D1,NP1-S4,D1,UN,Numba Primary,17,T125,,2,3,20,1.5
126,NP1-S4-D2-UN,NP1-S4-D2,NP1-S4,D2,UN,Numba Primary,26,T126,,1,4,40,1.5
127,NP1-S4-D3-UN,NP1-S4-D3,NP1-S4,D3,UN,Numba Primary,27,T127,,1,2,15,1.5
128,NP1-S4-D4-UN,NP1-S4-D4,NP1-S4,D4,UN,Numba Primary,33,T128,,1,2,25,1.5
129,NP1-S5-A1-CA,NP1-S5-A1,NP1-S5,A1,CA,Numba Primary,420,T129,outside plot: same as A2 CA,6,6,20,25
130,NP1-S5-A2-CA,NP1-S5-A2,NP1-S5,A2,CA,Numba Primary,420,T129,same as A1 CA,6,6,20,26
131,NP1-S5-A3-CA,NP1-S5-A3,NP1-S5,A3,CA,Numba Primary,66,T131,same as A3 CA,4,4,10,20
132,NP1-S5-A4-CA,NP1-S5-A4,NP1-S5,A4,CA,Numba Primary,95,T132,,5,1,5,10
133,NP1-S5-A1-UN,NP1-S5-A1,NP1-S5,A1,UN,Numba Primary,40,T133,,0,1,5,1.5
134,NP1-S5-A2-UN,NP1-S5-A2,NP1-S5,A2,UN,Numba Primary,14,T134,,0,0,5,1.5
135,NP1-S5-A3-UN,NP1-S5-A3,NP1-S5,A3,UN,Numba Primary,22,T135,,1,1,10,1.5
136,NP1-S5-A4-UN,NP1-S5-A4,NP1-S5,A4,UN,Numba Primary,35,T136,,2,1,20,1.5
137,NP1-S5-B1-CA,NP1-S5-B1,NP1-S5,B1,CA,Numba Primary,220,T137,,7,3,5,16
138,NP1-S5-B2-CA,NP1-S5-B2,NP1-S5,B2,CA,Numba Primary,66,T131,same as A3 CA,5,1,5,21
139,NP1-S5-B3-CA,NP1-S5-B3,NP1-S5,B3,CA,Numba Primary,66,T131,same as A3 CA,9,1,5,18
140,NP1-S5-B4-CA,NP1-S5-B4,NP1-S5,B4,CA,Numba Primary,74,T140,same as D3 CA,1,0,5,20
141,NP1-S5-B1-UN,NP1-S5-B1,NP1-S5,B1,UN,Numba Primary,65,T141,,0,1,20,1.5
142,NP1-S5-B2-UN,NP1-S5-B2,NP1-S5,B2,UN,Numba Primary,22,T142,,1,1,10,1.5
143,NP1-S5-B3-UN,NP1-S5-B3,NP1-S5,B3,UN,Numba Primary,42,T143,,5,1,15,1.5
144,NP1-S5-B4-UN,NP1-S5-B4,NP1-S5,B4,UN,Numba Primary,14,T144,,1,1,5,1.5
145,NP1-S5-C1-CA,NP1-S5-C1,NP1-S5,C1,CA,Numba Primary,66,T131,same as A3 CA,7,3,5,17
146,NP1-S5-C2-CA,NP1-S5-C2,NP1-S5,C2,CA,Numba Primary,175,T146,,10,1,5,26
147,NP1-S5-C3-CA,NP1-S5-C3,NP1-S5,C3,CA,Numba Primary,190,T147,same as C4 CA,5,3,5,22
148,NP1-S5-C4-CA,NP1-S5-C4,NP1-S5,C4,CA,Numba Primary,190,T147,same as C3 CA,5,3,5,19
149,NP1-S5-C1-UN,NP1-S5-C1,NP1-S5,C1,UN,Numba Primary,65,T149,,3,2,10,1.5
150,NP1-S5-C2-UN,NP1-S5-C2,NP1-S5,C2,UN,Numba Primary,17,T150,,1,1,5,1.5
151,NP1-S5-C3-UN,NP1-S5-C3,NP1-S5,C3,UN,Numba Primary,25,T151,,3,1,5,1.5
152,NP1-S5-C4-UN,NP1-S5-C4,NP1-S5,C4,UN,Numba Primary,14,T152,,2,0,5,1.5
153,NP1-S5-D1-CA,NP1-S5-D1,NP1-S5,D1,CA,Numba Primary,175,T153,same as D3 CA,6,1,5,15
154,NP1-S5-D2-CA,NP1-S5-D2,NP1-S5,D2,CA,Numba Primary,175,T153,same as D3 CA,18,3,5,21
155,NP1-S5-D3-CA,NP1-S5-D3,NP1-S5,D3,CA,Numba Primary,175,T140,same as C2 CA,5,3,5,18
156,NP1-S5-D4-CA,NP1-S5-D4,NP1-S5,D4,CA,Numba Primary,48,T156,,5,3,5,16
157,NP1-S5-D1-UN,NP1-S5-D1,NP1-S5,D1,UN,Numba Primary,21,T157,,1,2,5,1.5
158,NP1-S5-D2-UN,NP1-S5-D2,NP1-S5,D2,UN,Numba Primary,25,T158,,1,3,20,1.5
159,NP1-S5-D3-UN,NP1-S5-D3,NP1-S5,D3,UN,Numba Primary,50,T159,,1,1,5,1.5
160,NP1-S5-D4-UN,NP1-S5-D4,NP1-S5,D4,UN,Numba Primary,26,T160,,0,2,5,1.5
161,NP2-S1-A1-CA,NP2-S1-A1,NP2-S1,A1,CA,Numba Primary,32,T161,,0,1,10,10
162,NP2-S1-A2-CA,NP2-S1-A2,NP2-S1,A2,CA,Numba Primary,34,T162,,1,0,5,6
163,NP2-S1-A3-CA,NP2-S1-A3,NP2-S1,A3,CA,Numba Primary,36,T163,,1,0,5,9
164,NP2-S1-A4-CA,NP2-S1-A4,NP2-S1,A4,CA,Numba Primary,214,T164,same as B4 CA,>20,9,20,18
165,NP2-S1-A1-UN,NP2-S1-A1,NP2-S1,A1,UN,Numba Primary,33,T165,,3,2,10,1.5
166,NP2-S1-A2-UN,NP2-S1-A2,NP2-S1,A2,UN,Numba Primary,24,T166,,1,0,5,1.5
167,NP2-S1-A3-UN,NP2-S1-A3,NP2-S1,A3,UN,Numba Primary,27,T167,,2,0,5,1.5
168,NP2-S1-A4-UN,NP2-S1-A4,NP2-S1,A4,UN,Numba Primary,33,T168,,2,0,5,1.5
169,NP2-S1-B1-CA,NP2-S1-B1,NP2-S1,B1,CA,Numba Primary,175,T169,same as C1 CA,6,5,10,14
170,NP2-S1-B2-CA,NP2-S1-B2,NP2-S1,B2,CA,Numba Primary,47,T170,,3,0,5,13
171,NP2-S1-B3-CA,NP2-S1-B3,NP2-S1,B3,CA,Numba Primary,90,T171,,4,1,5,14
172,NP2-S1-B4-CA,NP2-S1-B4,NP2-S1,B4,CA,Numba Primary,214,T164,same as A4 CA,>20,9,20,16
173,NP2-S1-B1-UN,NP2-S1-B1,NP2-S1,B1,UN,Numba Primary,17,T173,,0,1,10,1.5
174,NP2-S1-B2-UN,NP2-S1-B2,NP2-S1,B2,UN,Numba Primary,17,T174,,5,0,5,1.5
175,NP2-S1-B3-UN,NP2-S1-B3,NP2-S1,B3,UN,Numba Primary,38,T175,,4,0,5,1.5
176,NP2-S1-B4-UN,NP2-S1-B4,NP2-S1,B4,UN,Numba Primary,14,T176,,9,0,5,1.5
177,NP2-S1-C1-CA,NP2-S1-C1,NP2-S1,C1,CA,Numba Primary,175,T169,same as B1 CA,6,5,10,12
178,NP2-S1-C2-CA,NP2-S1-C2,NP2-S1,C2,CA,Numba Primary,175,T169,same as B1 CA,6,5,10,23
179,NP2-S1-C3-CA,NP2-S1-C3,NP2-S1,C3,CA,Numba Primary,214,T164,same as A4 CA,>20,9,50,16
180,NP2-S1-C4-CA,NP2-S1-C4,NP2-S1,C4,CA,Numba Primary,160,T180,same as D4 CA,4,0,5,12
181,NP2-S1-C1-UN,NP2-S1-C1,NP2-S1,C1,UN,Numba Primary,57,T181,,6,4,10,1.5
182,NP2-S1-C2-UN,NP2-S1-C2,NP2-S1,C2,UN,Numba Primary,20,T182,,0,1,10,1.5
183,NP2-S1-C3-UN,NP2-S1-C3,NP2-S1,C3,UN,Numba Primary,26,T183,,4,0,5,1.5
184,NP2-S1-C4-UN,NP2-S1-C4,NP2-S1,C4,UN,Numba Primary,45,T184,,3,0,5,1.5
185,NP2-S1-D1-CA,NP2-S1-D1,NP2-S1,D1,CA,Numba Primary,175,T169,same as B1 CA,6,5,10,16
186,NP2-S1-D2-CA,NP2-S1-D2,NP2-S1,D2,CA,Numba Primary,72,T186,,3,1,5,11
187,NP2-S1-D3-CA,NP2-S1-D3,NP2-S1,D3,CA,Numba Primary,65,T187,,1,1,10,16
188,NP2-S1-D4-CA,NP2-S1-D4,NP2-S1,D4,CA,Numba Primary,160,T180,same as C4 CA,4,0,5,16
189,NP2-S1-D1-UN,NP2-S1-D1,NP2-S1,D1,UN,Numba Primary,37,T189,,1,1,5,1.5
190,NP2-S1-D2-UN,NP2-S1-D2,NP2-S1,D2,UN,Numba Primary,18,T190,,2,1,10,1.5
191,NP2-S1-D3-UN,NP2-S1-D3,NP2-S1,D3,UN,Numba Primary,22,T191,,4,1,5,1.5
192,NP2-S1-D4-UN,NP2-S1-D4,NP2-S1,D4,UN,Numba Primary,38,T192,,5,0,5,1.5
193,NP2-S2-A1-CA,NP2-S2-A1,NP2-S2,A1,CA,Numba Primary,35,T193,,7,0,5,10
194,NP2-S2-A2-CA,NP2-S2-A2,NP2-S2,A2,CA,Numba Primary,43,T194,,>20,3,10,30
195,NP2-S2-A3-CA,NP2-S2-A3,NP2-S2,A3,CA,Numba Primary,38,T195,,0,1,5,12
196,NP2-S2-A4-CA,NP2-S2-A4,NP2-S2,A4,CA,Numba Primary,106,T196,,12,0,5,27
197,NP2-S2-A1-UN,NP2-S2-A1,NP2-S2,A1,UN,Numba Primary,30,T197,,7,0,5,1.5
198,NP2-S2-A2-UN,NP2-S2-A2,NP2-S2,A2,UN,Numba Primary,20,T198,,1,1,5,1.5
199,NP2-S2-A3-UN,NP2-S2-A3,NP2-S2,A3,UN,Numba Primary,29,T199,,6,0,5,1.5
200,NP2-S2-A4-UN,NP2-S2-A4,NP2-S2,A4,UN,Numba Primary,26,T200,,1,1,5,1.5
201,NP2-S2-B1-CA,NP2-S2-B1,NP2-S2,B1,CA,Numba Primary,54,T201,,7,0,5,12
202,NP2-S2-B2-CA,NP2-S2-B2,NP2-S2,B2,CA,Numba Primary,51,T202,same as B1 UN,8,1,5,9
203,NP2-S2-B3-CA,NP2-S2-B3,NP2-S2,B3,CA,Numba Primary,60,T203,same as C3 CA,4,0,5,13
204,NP2-S2-B4-CA,NP2-S2-B4,NP2-S2,B4,CA,Numba Primary,51,T204,,4,1,10,15
205,NP2-S2-B1-UN,NP2-S2-B1,NP2-S2,B1,UN,Numba Primary,51,T202,same as B1 CA,8,1,5,1.5
206,NP2-S2-B2-UN,NP2-S2-B2,NP2-S2,B2,UN,Numba Primary,21,T206,,4,0,5,1.5
207,NP2-S2-B3-UN,NP2-S2-B3,NP2-S2,B3,UN,Numba Primary,24,T207,,2,0,5,1.5
208,NP2-S2-B4-UN,NP2-S2-B4,NP2-S2,B4,UN,Numba Primary,32,T208,,4,1,10,1.5
209,NP2-S2-C1-CA,NP2-S2-C1,NP2-S2,C1,CA,Numba Primary,307,T209,same as C2 CA,>20,1,5,26
210,NP2-S2-C2-CA,NP2-S2-C2,NP2-S2,C2,CA,Numba Primary,307,T209,same as C1 CA,>20,1,5,24
211,NP2-S2-C3-CA,NP2-S2-C3,NP2-S2,C3,CA,Numba Primary,60,T203,same as B3 CA,4,0,5,13
212,NP2-S2-C4-CA,NP2-S2-C4,NP2-S2,C4,CA,Numba Primary,62,T212,same as C4 UN,6,0,5,13
213,NP2-S2-C1-UN,NP2-S2-C1,NP2-S2,C1,UN,Numba Primary,29,T213,,3,0,5,1.5
214,NP2-S2-C2-UN,NP2-S2-C2,NP2-S2,C2,UN,Numba Primary,19,T214,,3,1,10,1.5
215,NP2-S2-C3-UN,NP2-S2-C3,NP2-S2,C3,UN,Numba Primary,60,T215,,4,0,5,1.5
216,NP2-S2-C4-UN,NP2-S2-C4,NP2-S2,C4,UN,Numba Primary,62,T212,same as C4 CA,6,0,5,1.5
217,NP2-S2-D1-CA,NP2-S2-D1,NP2-S2,D1,CA,Numba Primary,67,T217,same as D2 CA,8,0,5,15
218,NP2-S2-D2-CA,NP2-S2-D2,NP2-S2,D2,CA,Numba Primary,67,T217,same as D1 CA,8,0,5,12
219,NP2-S2-D3-CA,NP2-S2-D3,NP2-S2,D3,CA,Numba Primary,33,T219,,19,0,5,9
220,NP2-S2-D4-CA,NP2-S2-D4,NP2-S2,D4,CA,Numba Primary,62,T220,,6,0,5,12
221,NP2-S2-D1-UN,NP2-S2-D1,NP2-S2,D1,UN,Numba Primary,41,T221,,6,0,5,1.5
222,NP2-S2-D2-UN,NP2-S2-D2,NP2-S2,D2,UN,Numba Primary,58,T222,,4,0,5,1.5
223,NP2-S2-D3-UN,NP2-S2-D3,NP2-S2,D3,UN,Numba Primary,37,T223,,6,0,5,1.5
224,NP2-S2-D4-UN,NP2-S2-D4,NP2-S2,D4,UN,Numba Primary,42,T224,,3,0,5,1.5
225,NP2-S3-A1-CA,NP2-S3-A1,NP2-S3,A1,CA,Numba Primary,83,T225,same as B1 UN,4,1,20,20
226,NP2-S3-A2-CA,NP2-S3-A2,NP2-S3,A2,CA,Numba Primary,83,T225,same as A1 CA,4,1,20,21
227,NP2-S3-A3-CA,NP2-S3-A3,NP2-S3,A3,CA,Numba Primary,68,T227,same as A3 UN,8,0,5,12
228,NP2-S3-A4-CA,NP2-S3-A4,NP2-S3,A4,CA,Numba Primary,62,T228,same as A4 UN,6,0,5,13
229,NP2-S3-A1-UN,NP2-S3-A1,NP2-S3,A1,UN,Numba Primary,42,T229,,4,0,5,1.5
230,NP2-S3-A2-UN,NP2-S3-A2,NP2-S3,A2,UN,Numba Primary,36,T230,,3,0,10,1.5
231,NP2-S3-A3-UN,NP2-S3-A3,NP2-S3,A3,UN,Numba Primary,68,T227,same as A3 CA,8,0,5,1.5
232,NP2-S3-A4-UN,NP2-S3-A4,NP2-S3,A4,UN,Numba Primary,62,T228,same as A4 CA,6,0,5,1.5
233,NP2-S3-B1-CA,NP2-S3-B1,NP2-S3,B1,CA,Numba Primary,100,T233,outside of plot: same as S4-B4-CA,7,2,40,12
234,NP2-S3-B2-CA,NP2-S3-B2,NP2-S3,B2,CA,Numba Primary,87,T234,same as B3 CA,16,2,50,22
235,NP2-S3-B3-CA,NP2-S3-B3,NP2-S3,B3,CA,Numba Primary,87,T234,same as B2 CA,16,2,50,18
236,NP2-S3-B4-CA,NP2-S3-B4,NP2-S3,B4,CA,Numba Primary,65,T236,,2,0,5,12
237,NP2-S3-B1-UN,NP2-S3-B1,NP2-S3,B1,UN,Numba Primary,83,T225,same as A1 CA,4,1,20,1.5
238,NP2-S3-B2-UN,NP2-S3-B2,NP2-S3,B2,UN,Numba Primary,20,T238,,0,1,10,1.5
239,NP2-S3-B3-UN,NP2-S3-B3,NP2-S3,B3,UN,Numba Primary,21,T239,,0,1,10,1.5
240,NP2-S3-B4-UN,NP2-S3-B4,NP2-S3,B4,UN,Numba Primary,22,T240,,1,1,5,1.5
241,NP2-S3-C1-CA,NP2-S3-C1,NP2-S3,C1,CA,Numba Primary,58,T241,,12,0,5,13
242,NP2-S3-C2-CA,NP2-S3-C2,NP2-S3,C2,CA,Numba Primary,77,T242,same as D3 UN,18,0,5,13
243,NP2-S3-C3-CA,NP2-S3-C3,NP2-S3,C3,CA,Numba Primary,77,T242,same as C2 CA,18,0,5,12
244,NP2-S3-C4-CA,NP2-S3-C4,NP2-S3,C4,CA,Numba Primary,68,T244,,5,0,5,15
245,NP2-S3-C1-UN,NP2-S3-C1,NP2-S3,C1,UN,Numba Primary,49,T245,same as D1 CA,5,0,5,1.5
246,NP2-S3-C2-UN,NP2-S3-C2,NP2-S3,C2,UN,Numba Primary,51,T246,,7,0,10,1.5
247,NP2-S3-C3-UN,NP2-S3-C3,NP2-S3,C3,UN,Numba Primary,51,T247,,4,1,5,1.5
248,NP2-S3-C4-UN,NP2-S3-C4,NP2-S3,C4,UN,Numba Primary,21,T248,,1,0,5,1.5
249,NP2-S3-D1-CA,NP2-S3-D1,NP2-S3,D1,CA,Numba Primary,49,T245,same as C1 UN,5,0,5,15
250,NP2-S3-D2-CA,NP2-S3-D2,NP2-S3,D2,CA,Numba Primary,73,T250,same as D1 UN,11,0,5,15
251,NP2-S3-D3-CA,NP2-S3-D3,NP2-S3,D3,CA,Numba Primary,77,T242,same as C1 CA,18,0,5,12
252,NP2-S3-D4-CA,NP2-S3-D4,NP2-S3,D4,CA,Numba Primary,46,T252,,6,0,5,12
253,NP2-S3-D1-UN,NP2-S3-D1,NP2-S3,D1,UN,Numba Primary,73,T250,same as D2 CA,11,0,5,1.5
254,NP2-S3-D2-UN,NP2-S3-D2,NP2-S3,D2,UN,Numba Primary,52,T254,,2,1,5,1.5
255,NP2-S3-D3-UN,NP2-S3-D3,NP2-S3,D3,UN,Numba Primary,77,T242,same as C2 CA,18,0,5,1.5
256,NP2-S3-D4-UN,NP2-S3-D4,NP2-S3,D4,UN,Numba Primary,46,T256,,6,0,5,1.5
257,NP2-S4-A1-CA,NP2-S4-A1,NP2-S4,A1,CA,Numba Primary,116,T257,same as A2 CA,4,2,20,20
258,NP2-S4-A2-CA,NP2-S4-A2,NP2-S4,A2,CA,Numba Primary,116,T257,same as A1 CA,4,0,5,27
259,NP2-S4-A3-CA,NP2-S4-A3,NP2-S4,A3,CA,Numba Primary,183,T259,,>20,3,10,28
260,NP2-S4-A4-CA,NP2-S4-A4,NP2-S4,A4,CA,Numba Primary,105,T260,,3,6,15,15
261,NP2-S4-A1-UN,NP2-S4-A1,NP2-S4,A1,UN,Numba Primary,28,T261,,7,0,5,1.5
262,NP2-S4-A2-UN,NP2-S4-A2,NP2-S4,A2,UN,Numba Primary,29,T262,,3,0,5,1.5
263,NP2-S4-A3-UN,NP2-S4-A3,NP2-S4,A3,UN,Numba Primary,13,T263,,1,1,50,1.5
264,NP2-S4-A4-UN,NP2-S4-A4,NP2-S4,A4,UN,Numba Primary,14,T264,,1,1,50,1.5
265,NP2-S4-B1-CA,NP2-S4-B1,NP2-S4,B1,CA,Numba Primary,98,T265,same as B2 CA,4,5,10,13
266,NP2-S4-B2-CA,NP2-S4-B2,NP2-S4,B2,CA,Numba Primary,98,T265,same as B1 CA,4,5,10,10
267,NP2-S4-B3-CA,NP2-S4-B3,NP2-S4,B3,CA,Numba Primary,73,T267,,1,20,50,9
268,NP2-S4-B4-CA,NP2-S4-B4,NP2-S4,B4,CA,Numba Primary,105,T233,same as S3-B1-CA,3,6,15,19
269,NP2-S4-B1-UN,NP2-S4-B1,NP2-S4,B1,UN,Numba Primary,26,T269,,3,2,40,1.5
270,NP2-S4-B2-UN,NP2-S4-B2,NP2-S4,B2,UN,Numba Primary,99,T270,,4,5,10,1.5
271,NP2-S4-B3-UN,NP2-S4-B3,NP2-S4,B3,UN,Numba Primary,74,T271,,1,20,50,1.5
272,NP2-S4-B4-UN,NP2-S4-B4,NP2-S4,B4,UN,Numba Primary,30,T272,,2,1,5,1.5
273,NP2-S4-C1-CA,NP2-S4-C1,NP2-S4,C1,CA,Numba Primary,98,T265,same as B1 CA,4,5,10,10
274,NP2-S4-C2-CA,NP2-S4-C2,NP2-S4,C2,CA,Numba Primary,125,T274,same as D3 CA,1,11,20,17
275,NP2-S4-C3-CA,NP2-S4-C3,NP2-S4,C3,CA,Numba Primary,125,T274,same as D3 CA,2,11,20,17
276,NP2-S4-C4-CA,NP2-S4-C4,NP2-S4,C4,CA,Numba Primary,84,T276,same as D4 CA,2,4,5,18
277,NP2-S4-C1-UN,NP2-S4-C1,NP2-S4,C1,UN,Numba Primary,22,T277,,1,0,5,1.5
278,NP2-S4-C2-UN,NP2-S4-C2,NP2-S4,C2,UN,Numba Primary,69,T278,,2,1,10,1.5
279,NP2-S4-C3-UN,NP2-S4-C3,NP2-S4,C3,UN,Numba Primary,23,T279,,1,0,5,1.5
280,NP2-S4-C4-UN,NP2-S4-C4,NP2-S4,C4,UN,Numba Primary,75,T280,,NA,,,1.5
281,NP2-S4-D1-CA,NP2-S4-D1,NP2-S4,D1,CA,Numba Primary,161,T281,,4,15,40,12
282,NP2-S4-D2-CA,NP2-S4-D2,NP2-S4,D2,CA,Numba Primary,40,T282,,1,10,15,9
283,NP2-S4-D3-CA,NP2-S4-D3,NP2-S4,D3,CA,Numba Primary,125,T274,same as C2 CA,2,11,20,17
284,NP2-S4-D4-CA,NP2-S4-D4,NP2-S4,D4,CA,Numba Primary,84,T276,same as C4 CA,2,4,5,13
