ID,mastercode,Code,Plot,Subplot,Stratum,Forest,Trunk perimenter (cm),tree ID,Notes-Trunk,Lianas,deadwood .,deadwood%,Bait/Bamboo Height(m)
401,NP4-S3-C1-CA,NP4-S3-C1,NP4-S3,C1,CA,Numba Primary,119,T401,,13,0,5,12
402,NP4-S3-C2-CA,NP4-S3-C2,NP4-S3,C2,CA,Numba Primary,147,T394,same as B2 CA,6,0,5,11
403,NP4-S3-C3-CA,NP4-S3-C3,NP4-S3,C3,CA,Numba Primary,49,T403,,5,0,5,14
404,NP4-S3-C4-CA,NP4-S3-C4,NP4-S3,C4,CA,Numba Primary,104,T404,,5,1,5,19
405,NP4-S3-C1-UN,NP4-S3-C1,NP4-S3,C1,UN,Numba Primary,21,T405,,1,2,5,1.5
406,NP4-S3-C2-UN,NP4-S3-C2,NP4-S3,C2,UN,Numba Primary,33,T406,,0,1,5,1.5
407,NP4-S3-C3-UN,NP4-S3-C3,NP4-S3,C3,UN,Numba Primary,55,T407,,5,2,5,1.5
408,NP4-S3-C4-UN,NP4-S3-C4,NP4-S3,C4,UN,Numba Primary,47,T408,,12,1,20,1.5
409,NP4-S3-D1-CA,NP4-S3-D1,NP4-S3,D1,CA,Numba Primary,113,T409,,>20,0,5,14
410,NP4-S3-D2-CA,NP4-S3-D2,NP4-S3,D2,CA,Numba Primary,68,T410,,2,1,5,15
411,NP4-S3-D3-CA,NP4-S3-D3,NP4-S3,D3,CA,Numba Primary,112,T411,same as D4 CA,10,1,10,15
412,NP4-S3-D4-CA,NP4-S3-D4,NP4-S3,D4,CA,Numba Primary,112,T411,same as D3 CA,6,0,5,14
413,NP4-S3-D1-UN,NP4-S3-D1,NP4-S3,D1,UN,Numba Primary,15,T413,,0,2,5,1.5
414,NP4-S3-D2-UN,NP4-S3-D2,NP4-S3,D2,UN,Numba Primary,67,T414,,2,1,5,1.5
415,NP4-S3-D3-UN,NP4-S3-D3,NP4-S3,D3,UN,Numba Primary,39,T415,,3,0,5,1.5
416,NP4-S3-D4-UN,NP4-S3-D4,NP4-S3,D4,UN,Numba Primary,18,T416,,2,0,5,1.5
417,NP4-S4-A1-CA,NP4-S4-A1,NP4-S4,A1,CA,Numba Primary,228,T345,same as S1 D1 CA,10,0,5,22
418,NP4-S4-A2-CA,NP4-S4-A2,NP4-S4,A2,CA,Numba Primary,210,T418,same as C1 CA,8,1,5,22
419,NP4-S4-A3-CA,NP4-S4-A3,NP4-S4,A3,CA,Numba Primary,210,T418,same as C1 CA,10,2,5,23
420,NP4-S4-A4-CA,NP4-S4-A4,NP4-S4,A4,CA,Numba Primary,212,T420,,0,1,5,10
421,NP4-S4-A1-UN,NP4-S4-A1,NP4-S4,A1,UN,Numba Primary,45,T421,,2,0,5,1.5
422,NP4-S4-A2-UN,NP4-S4-A2,NP4-S4,A2,UN,Numba Primary,40,T422,,0,1,5,1.5
423,NP4-S4-A3-UN,NP4-S4-A3,NP4-S4,A3,UN,Numba Primary,16,T423,,1,2,5,1.5
424,NP4-S4-A4-UN,NP4-S4-A4,NP4-S4,A4,UN,Numba Primary,46,T424,,5,1,20,1.5
425,NP4-S4-B1-CA,NP4-S4-B1,NP4-S4,B1,CA,Numba Primary,210,T418,same as C1 CA,5,0,5,19
426,NP4-S4-B2-CA,NP4-S4-B2,NP4-S4,B2,CA,Numba Primary,64,T426,same as B3 CA,0,1,5,11.5
427,NP4-S4-B3-CA,NP4-S4-B3,NP4-S4,B3,CA,Numba Primary,64,T426,same as B2 CA,0,1,5,12
428,NP4-S4-B4-CA,NP4-S4-B4,NP4-S4,B4,CA,Numba Primary,49,T428,same as S3-B1-UN,3,0,5,12
429,NP4-S4-B1-UN,NP4-S4-B1,NP4-S4,B1,UN,Numba Primary,60,T429,,1,0,5,1.5
430,NP4-S4-B2-UN,NP4-S4-B2,NP4-S4,B2,UN,Numba Primary,23,T430,,2,1,5,1.5
431,NP4-S4-B3-UN,NP4-S4-B3,NP4-S4,B3,UN,Numba Primary,37,T431,,5,1,5,1.5
432,NP4-S4-B4-UN,NP4-S4-B4,NP4-S4,B4,UN,Numba Primary,18,T432,,0,0,5,1.5
433,NP4-S4-C1-CA,NP4-S4-C1,NP4-S4,C1,CA,Numba Primary,210,T418,same as A2 CA,5,1,5,22
434,NP4-S4-C2-CA,NP4-S4-C2,NP4-S4,C2,CA,Numba Primary,53,T434,same as D2 CA,3,0,5,16
435,NP4-S4-C3-CA,NP4-S4-C3,NP4-S4,C3,CA,Numba Primary,85,T435,same as D3 CA,8,0,5,20
436,NP4-S4-C4-CA,NP4-S4-C4,NP4-S4,C4,CA,Numba Primary,120,T436,same as D4 CA,9,0,5,12
437,NP4-S4-C1-UN,NP4-S4-C1,NP4-S4,C1,UN,Numba Primary,45,T437,,4,0,5,1.5
438,NP4-S4-C2-UN,NP4-S4-C2,NP4-S4,C2,UN,Numba Primary,51,T438,,3,0,5,1.5
439,NP4-S4-C3-UN,NP4-S4-C3,NP4-S4,C3,UN,Numba Primary,56,T439,,2,0,5,1.5
440,NP4-S4-C4-UN,NP4-S4-C4,NP4-S4,C4,UN,Numba Primary,22,T440,,1,0,5,1.5
441,NP4-S4-D1-CA,NP4-S4-D1,NP4-S4,D1,CA,Numba Primary,42,T441,,7,1,10,10
442,NP4-S4-D2-CA,NP4-S4-D2,NP4-S4,D2,CA,Numba Primary,53,T434,same as C2 CA,3,0,5,18
443,NP4-S4-D3-CA,NP4-S4-D3,NP4-S4,D3,CA,Numba Primary,85,T435,same as C3 CA,8,0,5,16
444,NP4-S4-D4-CA,NP4-S4-D4,NP4-S4,D4,CA,Numba Primary,120,T436,same as C4 CA,8,0,5,17
445,NP4-S4-D1-UN,NP4-S4-D1,NP4-S4,D1,UN,Numba Primary,42,T445,,7,1,10,1.5
446,NP4-S4-D2-UN,NP4-S4-D2,NP4-S4,D2,UN,Numba Primary,23,T446,,3,0,5,1.5
447,NP4-S4-D3-UN,NP4-S4-D3,NP4-S4,D3,UN,Numba Primary,31,T447,,2,0,5,1.5
448,NP4-S4-D4-UN,NP4-S4-D4,NP4-S4,D4,UN,Numba Primary,21,T448,,1,0,5,1.5
449,NP4-S5-A1-CA,NP4-S5-A1,NP4-S5,A1,CA,Numba Primary,44,T449,,2,1,5,10
450,NP4-S5-A2-CA,NP4-S5-A2,NP4-S5,A2,CA,Numba Primary,40,T450,,5,0,5,13
451,NP4-S5-A3-CA,NP4-S5-A3,NP4-S5,A3,CA,Numba Primary,56,T451,,5,1,10,11
452,NP4-S5-A4-CA,NP4-S5-A4,NP4-S5,A4,CA,Numba Primary,56,T452,,>20,3,10,32
453,NP4-S5-A1-UN,NP4-S5-A1,NP4-S5,A1,UN,Numba Primary,48,T453,same as A2 UN,2,0,5,1.5
454,NP4-S5-A2-UN,NP4-S5-A2,NP4-S5,A2,UN,Numba Primary,48,T453,same as A1 UN,5,0,5,1.5
455,NP4-S5-A3-UN,NP4-S5-A3,NP4-S5,A3,UN,Numba Primary,38,T455,,5,1,10,1.5
456,NP4-S5-A4-UN,NP4-S5-A4,NP4-S5,A4,UN,Numba Primary,48,T456,,8,1,10,1.5
457,NP4-S5-B1-CA,NP4-S5-B1,NP4-S5,B1,CA,Numba Primary,89,T457,same as B1 UN,1,1,5,10
458,NP4-S5-B2-CA,NP4-S5-B2,NP4-S5,B2,CA,Numba Primary,57,T458,,2,1,10,14
459,NP4-S5-B3-CA,NP4-S5-B3,NP4-S5,B3,CA,Numba Primary,150,T459,,>20,2,10,19
460,NP4-S5-B4-CA,NP4-S5-B4,NP4-S5,B4,CA,Numba Primary,58,T460,,7,1,50,12
461,NP4-S5-B1-UN,NP4-S5-B1,NP4-S5,B1,UN,Numba Primary,89,T457,same as B1 CA,1,1,5,1.5
462,NP4-S5-B2-UN,NP4-S5-B2,NP4-S5,B2,UN,Numba Primary,20,T462,,1,0,5,1.5
463,NP4-S5-B3-UN,NP4-S5-B3,NP4-S5,B3,UN,Numba Primary,15,T463,,2,1,10,1.5
464,NP4-S5-B4-UN,NP4-S5-B4,NP4-S5,B4,UN,Numba Primary,35,T464,,4,0,5,1.5
465,NP4-S5-C1-CA,NP4-S5-C1,NP4-S5,C1,CA,Numba Primary,39,T465,,5,1,5,11
466,NP4-S5-C2-CA,NP4-S5-C2,NP4-S5,C2,CA,Numba Primary,83,T466,,2,3,15,21
467,NP4-S5-C3-CA,NP4-S5-C3,NP4-S5,C3,CA,Numba Primary,22,T467,,1,0,5,12
468,NP4-S5-C4-CA,NP4-S5-C4,NP4-S5,C4,CA,Numba Primary,84,T337,same as S1 C1 CA,2,1,10,24
469,NP4-S5-C1-UN,NP4-S5-C1,NP4-S5,C1,UN,Numba Primary,60,T469,,8,0,5,1.5
470,NP4-S5-C2-UN,NP4-S5-C2,NP4-S5,C2,UN,Numba Primary,57,T470,,7,3,40,1.5
471,NP4-S5-C3-UN,NP4-S5-C3,NP4-S5,C3,UN,Numba Primary,34,T471,,2,1,10,1.5
472,NP4-S5-C4-UN,NP4-S5-C4,NP4-S5,C4,UN,Numba Primary,51,T472,,1,0,5,1.5
473,NP4-S5-D1-CA,NP4-S5-D1,NP4-S5,D1,CA,Numba Primary,122,T473,,3,3,15,19
474,NP4-S5-D2-CA,NP4-S5-D2,NP4-S5,D2,CA,Numba Primary,46,T474,,1,0,5,9
475,NP4-S5-D3-CA,NP4-S5-D3,NP4-S5,D3,CA,Numba Primary,90,T475,,2,0,5,17
476,NP4-S5-D4-CA,NP4-S5-D4,NP4-S5,D4,CA,Numba Primary,52,T476,same as D4 UN,2,0,5,11
477,NP4-S5-D1-UN,NP4-S5-D1,NP4-S5,D1,UN,Numba Primary,42,T477,,2,1,10,1.5
478,NP4-S5-D2-UN,NP4-S5-D2,NP4-S5,D2,UN,Numba Primary,38,T478,,3,1,10,1.5
479,NP4-S5-D3-UN,NP4-S5-D3,NP4-S5,D3,UN,Numba Primary,43,T479,,2,1,10,1.5
480,NP4-S5-D4-UN,NP4-S5-D4,NP4-S5,D4,UN,Numba Primary,52,T476,same as D4 CA,2,0,5,1.5
481,NP5-S1-A1-CA,NP5-S1-A1,NP5-S1,A1,CA,Numba Primary,233,T481,same as B1 CA,10,2,5,26
482,NP5-S1-A2-CA,NP5-S1-A2,NP5-S1,A2,CA,Numba Primary,257,T482,same as A3 CA,6,1,5,22
483,NP5-S1-A3-CA,NP5-S1-A3,NP5-S1,A3,CA,Numba Primary,257,T482,same as A2 CA,6,1,5,20
484,NP5-S1-A4-CA,NP5-S1-A4,NP5-S1,A4,CA,Numba Primary,49,T484,,2,0,5,15
485,NP5-S1-A1-UN,NP5-S1-A1,NP5-S1,A1,UN,Numba Primary,20,T485,,1,0,5,1.5
486,NP5-S1-A2-UN,NP5-S1-A2,NP5-S1,A2,UN,Numba Primary,25,T486,,0,2,5,1.5
487,NP5-S1-A3-UN,NP5-S1-A3,NP5-S1,A3,UN,Numba Primary,31,T487,,3,0,5,1.5
