"Plot","plot.stratum","trunk_mean","Lianas.n_mean","dw.number_mean","dw.percent_mean","height_mean","Block","Forest","Caco","elevation","slope.var"
"KP4-S2","KP4-S2 CA",131.666666666667,2.22222222222222,1.44444444444444,35,17.8888888888889,"KP4","Kausi Primary",59.7,174,1.93408
"KP4-S2","KP4-S2 UN",42,1.6875,0.866666666666667,19.3333333333333,1.5,"KP4","Kausi Primary",59.7,174,1.93408
"KP4-S3","KP4-S3 CA",181.6,0.2,2,6.5,17.5,"KP4","Kausi Primary",59.4,174,3.18408
"KP4-S3","KP4-S3 UN",33.4285714285714,0.5,0.357142857142857,7.14285714285714,1.5,"KP4","Kausi Primary",59.4,174,3.18408
"KP6-S1","KP6-S1 CA",86.7,9.4,2.6,10,19.3,"KP6","Kausi Primary",60.99,296,7.935145
"KP6-S1","KP6-S1 UN",27.3125,0.5625,0.9375,5.9375,1.5,"KP6","Kausi Primary",60.99,296,7.935145
"KP6-S2","KP6-S2 CA",35.75,14.8125,4.1875,9.6875,21.0625,"KP6","Kausi Primary",59.92,296,12.760145
"KP6-S2","KP6-S2 UN",92.8,0.8,0.4,6,1.5,"KP6","Kausi Primary",59.92,296,12.760145
"KP6-S3","KP6-S3 CA",69.375,2.83333333333333,0,5,16.375,"KP6","Kausi Primary",62.88,296,19.935145
"KP6-S3","KP6-S3 UN",29.3571428571429,2,0.285714285714286,10.3571428571429,1.5,"KP6","Kausi Primary",62.88,296,19.935145
"NP1-S1","NP1-S1 CA",149.545454545455,3.81818181818182,4.27272727272727,12.2727272727273,19.4545454545455,"NP1","Numba Primary",56.26,876,5.7321775
"NP1-S1","NP1-S1 UN",25.9375,0.75,0.8125,10.3125,1.5,"NP1","Numba Primary",56.26,876,5.7321775
"NP1-S2","NP1-S2 CA",107,4.375,2.375,7.5,21.25,"NP1","Numba Primary",60.12,876,5.7321775
"NP1-S2","NP1-S2 UN",26.2,1.14285714285714,1.35714285714286,8.57142857142857,1.5,"NP1","Numba Primary",60.12,876,5.7321775
"NP1-S3","NP1-S3 CA",74.5384615384615,2,0.307692307692308,6.92307692307692,16.6153846153846,"NP1","Numba Primary",60.78,876,8.6321775
"NP1-S3","NP1-S3 UN",39.8571428571429,1.57142857142857,0.5,5.71428571428571,1.5,"NP1","Numba Primary",60.78,876,8.6321775
"NP1-S4","NP1-S4 CA",110.333333333333,3.16666666666667,2.83333333333333,9.16666666666667,16.1666666666667,"NP1","Numba Primary",60.06,876,6.0321775
"NP1-S4","NP1-S4 UN",24.8,1.13333333333333,1.6,11.6666666666667,1.5,"NP1","Numba Primary",60.06,876,6.0321775
"NP1-S5","NP1-S5 CA",162.555555555556,5.44444444444444,2.44444444444444,7.22222222222222,18.8888888888889,"NP1","Numba Primary",59.75,876,9.5571775
"NP1-S5","NP1-S5 UN",31.0625,1.375,1.1875,9.375,1.5,"NP1","Numba Primary",59.75,876,9.5571775
"NP2-S1","NP2-S1 CA",92.5,4.3,1.8,8,12.3,"NP2","Numba Primary",75.8,872,14.832505
"NP2-S1","NP2-S1 UN",29.125,3.1875,0.6875,6.5625,1.5,"NP2","Numba Primary",75.8,872,14.832505
"NP2-S2","NP2-S2 CA",74.5384615384615,9.30769230769231,0.538461538461538,5.76923076923077,15.6153846153846,"NP2","Numba Primary",65.7,872,19.932505
"NP2-S2","NP2-S2 UN",33.4285714285714,3.85714285714286,0.285714285714286,5.71428571428571,1.5,"NP2","Numba Primary",65.7,872,19.932505
"NP2-S3","NP2-S3 CA",71.5454545454545,8.63636363636364,0.454545454545455,13.6363636363636,14.4545454545455,"NP2","Numba Primary",56.36,872,14.932505
"NP2-S3","NP2-S3 UN",37.3636363636364,3,0.454545454545455,6.81818181818182,1.5,"NP2","Numba Primary",56.36,872,14.932505
"NP2-S4","NP2-S4 CA",109.444444444444,4.44444444444444,8.44444444444444,20.5555555555556,15.6666666666667,"NP2","Numba Primary",67,872,11.932505
"NP2-S4","NP2-S4 UN",38.875,2.46666666666667,3.13333333333333,19,1.5,"NP2","Numba Primary",67,872,11.932505
"NP2-S5","NP2-S5 CA",182.333333333333,3.77777777777778,6.88888888888889,22.7777777777778,18.2222222222222,"NP2","Numba Primary",61.4,872,11.057505
"NP2-S5","NP2-S5 UN",37.6428571428571,2.35714285714286,0.857142857142857,10.7142857142857,1.5,"NP2","Numba Primary",61.4,872,11.057505
"NP4-S1","NP4-S1 CA",126.642857142857,6.21428571428571,0.428571428571429,7.14285714285714,18.7857142857143,"NP4","Numba Primary",60.64,929,8.1816075
"NP4-S1","NP4-S1 UN",32,1.6,0.4,5.93333333333333,1.5,"NP4","Numba Primary",60.64,929,8.1816075
"NP4-S2","NP4-S2 CA",154.111111111111,13.5555555555556,1.33333333333333,7.22222222222222,20.1111111111111,"NP4","Numba Primary",57.04,929,5.7066075
"NP4-S2","NP4-S2 UN",27.75,3.1875,0.75,5.9375,1.5,"NP4","Numba Primary",57.04,929,5.7066075
"NP4-S3","NP4-S3 CA",105,7.54545454545455,0.272727272727273,5.45454545454545,17.0909090909091,"NP4","Numba Primary",60.15,929,6.9066075
"NP4-S3","NP4-S3 UN",36.5625,3.5,0.625,5.9375,1.5,"NP4","Numba Primary",60.15,929,6.9066075
"NP4-S4","NP4-S4 CA",112.285714285714,5,0.571428571428571,5.71428571428571,14.5,"NP4","Numba Primary",64.45,929,6.5566075
"NP4-S4","NP4-S4 UN",36,2.4375,0.4375,6.25,1.5,"NP4","Numba Primary",64.45,929,6.5566075
"NP4-S5","NP4-S5 CA",66.9333333333333,5.2,1.13333333333333,10.6666666666667,14.7333333333333,"NP4","Numba Primary",59.5,929,6.5816075
"NP4-S5","NP4-S5 UN",40.6923076923077,3.61538461538462,0.769230769230769,10.3846153846154,1.5,"NP4","Numba Primary",59.5,929,6.5816075
"NP5-S1","NP5-S1 CA",256.923076923077,7.92307692307692,2.46153846153846,8.84615384615385,22.2307692307692,"NP5","Numba Primary",65.85,999,3.4316125
"NP5-S1","NP5-S1 UN",32.625,1.375,1.5,10.625,1.5,"NP5","Numba Primary",65.85,999,3.4316125
"NP5-S2","NP5-S2 CA",97.3571428571429,2.28571428571429,1.28571428571429,5.71428571428571,17.5714285714286,"NP5","Numba Primary",59.58,999,9.4316125
"NP5-S2","NP5-S2 UN",28,1.18181818181818,0.454545454545455,7.72727272727273,1.5,"NP5","Numba Primary",59.58,999,9.4316125
"NP5-S3","NP5-S3 CA",161.125,4.5,1.75,16.25,18.5,"NP5","Numba Primary",57.73,999,10.9316125
"NP5-S3","NP5-S3 UN",26.3333333333333,1.26666666666667,0.866666666666667,9.33333333333333,1.5,"NP5","Numba Primary",57.73,999,10.9316125
"NP5-S4","NP5-S4 CA",178.833333333333,9.33333333333333,1.33333333333333,8.33333333333333,14.8333333333333,"NP5","Numba Primary",57.9,999,13.4316125
"NP5-S4","NP5-S4 UN",36.8666666666667,2.13333333333333,0.8,8.66666666666667,1.5,"NP5","Numba Primary",57.9,999,13.4316125
"NP5-S5","NP5-S5 CA",116.875,12.25,0.875,7.5,18,"NP5","Numba Primary",59.35,999,7.9316125
"NP5-S5","NP5-S5 UN",28.5333333333333,2.2,0.466666666666667,10,1.5,"NP5","Numba Primary",59.35,999,7.9316125
